,lat,lon,weather,time,pressure,temperature
0,30.36,-89.61,2147483647,2023-03-06 11:00:00,-1e+100,298.25
1,46.56,-90.44,2147483647,2023-03-06 10:00:00,-1e+100,273.35
2,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,265.2
3,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,265.4
4,46.56,-90.44,2147483647,2023-03-06 11:00:00,-1e+100,273.35
5,28.14,-96.83,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
6,28.14,-96.83,2147483647,2023-03-06 10:00:00,-1e+100,-1e+100
7,46.09,-85.44,2147483647,2023-03-06 10:00:00,-1e+100,274.15000000000003
8,33.76,-118.27,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
9,37.41,-76.71,2147483647,2023-03-06 11:00:00,-1e+100,277.45
10,37.41,-76.71,2147483647,2023-03-06 10:00:00,-1e+100,277.65000000000003
11,43.28,-124.32,2147483647,2023-03-06 10:00:00,-1e+100,275.95
12,41.64,-87.14,2147483647,2023-03-06 11:00:00,-1e+100,279.35
13,-66.73,112.75,2147483647,2023-03-06 10:00:00,-1e+100,261.95
14,-71.89,171.21,2147483647,2023-03-06 10:00:00,97830.0,267.27
15,50.57,11.8,17,2023-03-06 11:00:00,-1e+100,273.75
16,53.06,7.9,13,2023-03-06 11:00:00,-1e+100,275.45
17,-66.73,112.75,2147483647,2023-03-06 08:00:00,-1e+100,262.55
18,-71.89,171.21,2147483647,2023-03-06 11:00:00,-1e+100,266.15
19,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,265.0
20,-76.72,162.96,2147483647,2023-03-06 12:00:00,-1e+100,255.45000000000002
21,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,264.8
22,-1e+100,-1e+100,2147483647,2023-03-06 12:00:00,-1e+100,281.75
23,12.13,15.02,2,2023-03-06 12:00:00,-1e+100,314.05
24,-7.97,-14.4,8,2023-03-06 12:00:00,-1e+100,302.95
25,19.31,81.25,2147483647,2023-03-06 12:00:00,-1e+100,298.95
26,-16.18,33.58,10,2023-03-06 12:00:00,-1e+100,307.85
27,-75.1,123.41,2147483647,2023-03-06 12:00:00,-1e+100,227.85
28,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,265.2
29,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,265.0
30,40.25,40.22,6,2023-03-06 09:00:00,85000.0,278.85
31,32.37,-64.67,1,2023-03-06 12:00:00,-1e+100,290.55
32,-1e+100,-1e+100,10,2023-03-06 12:00:00,-1e+100,296.55
33,43.35,-124.32,2147483647,2023-03-06 10:00:00,-1e+100,-1e+100
34,40.08,-74.87,2147483647,2023-03-06 10:00:00,-1e+100,276.75
35,-14.28,-170.69,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
36,67.58,-164.07,2147483647,2023-03-06 11:00:00,-1e+100,269.85
37,56.9,-154.25,2147483647,2023-03-06 11:00:00,-1e+100,276.75
38,40.77,-124.22,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
39,-29.09,-53.83,2147483647,2023-03-06 11:00:00,-1e+100,293.35
40,57.46,-134.87,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
41,60.78,-148.68,2147483647,2023-03-06 11:00:00,-1e+100,270.95
42,47.75,-90.34,2147483647,2023-03-06 11:00:00,-1e+100,273.35
43,28.94,-95.29,2147483647,2023-03-06 11:00:00,-1e+100,293.45
44,27.83,-97.49,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
45,48.31,-71.13,2147483647,2023-03-06 09:00:00,-1e+100,267.04
46,30.67,-88.03,2147483647,2023-03-06 11:00:00,-1e+100,289.45
47,27.93,-82.43,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
48,41.73,-86.93,2147483647,2023-03-06 11:00:00,-1e+100,278.85
49,41.7,-83.26,2147483647,2023-03-06 11:00:00,-1e+100,276.55
50,37.03,-76.08,2147483647,2023-03-06 11:00:00,-1e+100,282.65000000000003
51,42.55,-80.05,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
52,65.88,-89.45,2147483647,2023-03-06 10:00:00,-1e+100,251.18
53,48.31,-71.13,2147483647,2023-03-06 10:00:00,-1e+100,266.63
54,50.6,-112.8,2147483647,2023-03-06 11:00:00,-1e+100,255.53
55,49.9,-112.73,2147483647,2023-03-06 10:00:00,-1e+100,259.29
56,39.93,-75.14,2147483647,2023-03-06 11:00:00,-1e+100,277.85
57,41.31,-72.08,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
58,-1e+100,-1e+100,8,2023-03-06 12:00:00,-1e+100,298.95
59,-51.42,-60.56,2147483647,2023-03-06 12:00:00,-1e+100,278.3
60,-51.67,-58.11,2147483647,2023-03-06 12:00:00,-1e+100,278.38
61,0.52,123.07,6,2023-03-06 09:00:00,-1e+100,302.66
62,36.15,-5.35,2147483647,2023-03-06 12:00:00,-1e+100,290.94
63,34.58,32.98,2147483647,2023-03-06 12:00:00,-1e+100,290.94
64,-17.18,-70.93,2147483647,2023-03-06 11:00:00,-1e+100,288.75
65,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,265.0
66,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,265.0
67,0.52,123.07,6,2023-03-06 09:00:00,-1e+100,302.66
68,-36.65,140.52,2147483647,2023-03-06 12:00:00,-1e+100,287.85
69,-28.04,153.19,2147483647,2023-03-06 12:00:00,-1e+100,291.55
70,-27.22,153.09,2147483647,2023-03-06 12:00:00,-1e+100,297.55
71,-14.46,-145.03,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
72,-27.99,143.81,2147483647,2023-03-06 12:00:00,-1e+100,305.65000000000003
73,-21.92,-157.95,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
74,-51.82,-58.45,2147483647,2023-03-06 12:00:00,-1e+100,282.25
75,-52.15,-60.6,2147483647,2023-03-06 12:00:00,-1e+100,278.68
76,-62.98,-60.68,2147483647,2023-03-06 12:00:00,-1e+100,276.54
77,-1e+100,-1e+100,10,2023-03-06 12:00:00,-1e+100,296.85
78,-21.05,164.83,2147483647,2023-03-06 12:00:00,-1e+100,0.1
79,-74.37,164.14,9,2023-03-06 12:00:00,-1e+100,264.8
80,-74.37,164.14,9,2023-03-06 11:00:00,-1e+100,264.8
81,-28.04,153.19,2147483647,2023-03-06 12:00:00,-1e+100,291.55
82,-36.65,140.52,2147483647,2023-03-06 12:00:00,-1e+100,287.85
83,-27.22,153.09,2147483647,2023-03-06 12:00:00,-1e+100,297.55
84,-37.69,148.47,2147483647,2023-03-06 12:00:00,-1e+100,287.95
85,-9.81,-139.04,2147483647,2023-03-06 12:00:00,-1e+100,0.1
86,49.58,15.76,10,2023-03-06 10:00:00,-1e+100,274.65000000000003
87,-1e+100,-1e+100,2147483647,2023-03-06 12:00:00,-1e+100,282.55
88,53.8,10.7,11,2023-03-06 12:00:00,-1e+100,277.15000000000003
89,50.43,12.95,17,2023-03-06 12:00:00,85000.0,269.35
90,-1e+100,-1e+100,2147483647,2023-03-06 12:00:00,-1e+100,282.95
91,47.8,11.01,17,2023-03-06 12:00:00,85000.0,272.65
92,51.72,10.6,17,2023-03-06 12:00:00,-1e+100,273.35
93,48.92,9.69,17,2023-03-06 12:00:00,-1e+100,274.95
94,52.32,8.17,17,2023-03-06 12:00:00,-1e+100,276.55
95,47.72,10.33,14,2023-03-06 12:00:00,-1e+100,274.75
96,50.5,11.13,17,2023-03-06 12:00:00,85000.0,270.95
97,47.88,12.54,10,2023-03-06 12:00:00,-1e+100,276.45
98,41.8,-6.74,6,2023-03-06 09:00:00,-1e+100,278.85
99,-14.22,34.35,10,2023-03-06 12:00:00,85000.0,297.95
100,-19.8,34.9,10,2023-03-06 12:00:00,-1e+100,304.05
101,-13.28,35.25,9,2023-03-06 12:00:00,85000.0,293.45
102,-23.87,35.38,10,2023-03-06 12:00:00,-1e+100,304.85
103,-24.05,34.05,10,2023-03-06 12:00:00,-1e+100,303.95
104,-36.49,148.29,2147483647,2023-03-06 12:00:00,-1e+100,280.75
105,-22.59,167.45,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
106,-21.05,164.83,2147483647,2023-03-06 12:00:00,-1e+100,0.1
107,-27.99,143.81,2147483647,2023-03-06 12:00:00,-1e+100,305.65000000000003
108,-37.69,148.47,2147483647,2023-03-06 12:00:00,-1e+100,287.95
109,-14.46,-145.03,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
110,-9.81,-139.04,2147483647,2023-03-06 12:00:00,-1e+100,0.1
111,-21.92,-157.95,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
112,30.38,-9.56,10,2023-03-06 12:00:00,-1e+100,292.65000000000003
113,29.01,-10.05,10,2023-03-06 12:00:00,-1e+100,293.45
114,50.48,6.18,17,2023-03-06 12:00:00,-1e+100,273.65000000000003
115,34.05,-6.76,10,2023-03-06 12:00:00,-1e+100,292.95
116,50.58,3.83,10,2023-03-06 12:00:00,-1e+100,278.35
117,51.0,5.07,16,2023-03-06 12:00:00,-1e+100,278.25
118,47.06,2.36,2147483647,2023-03-06 12:00:00,-1e+100,0.2
119,43.01,1.11,2147483647,2023-03-06 12:00:00,-1e+100,0.3
120,48.69,6.22,2147483647,2023-03-06 12:00:00,-1e+100,0.0
121,42.54,9.49,2147483647,2023-03-06 12:00:00,-1e+100,0.1
122,48.45,0.11,2147483647,2023-03-06 12:00:00,-1e+100,0.1
123,4.82,-52.37,2147483647,2023-03-06 12:00:00,-1e+100,0.1
124,44.58,4.73,2147483647,2023-03-06 12:00:00,-1e+100,0.1
125,47.25,5.99,2147483647,2023-03-06 12:00:00,-1e+100,0.0
126,48.53,-4.15,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
127,44.43,-1.25,2147483647,2023-03-06 12:00:00,-1e+100,0.2
128,51.06,2.34,2,2023-03-06 12:00:00,-1e+100,0.1
129,47.56,-0.32,2147483647,2023-03-06 12:00:00,-1e+100,0.1
130,45.93,6.09,2147483647,2023-03-06 12:00:00,-1e+100,0.1
131,47.84,5.34,2147483647,2023-03-06 12:00:00,-1e+100,0.1
132,43.47,-1.53,2147483647,2023-03-06 12:00:00,-1e+100,0.1
133,49.73,-1.94,2,2023-03-06 12:00:00,-1e+100,0.1
134,50.57,3.1,2147483647,2023-03-06 12:00:00,-1e+100,0.1
135,30.93,-6.9,10,2023-03-06 12:00:00,85000.0,295.75
136,32.86,-6.96,10,2023-03-06 12:00:00,85000.0,290.45
137,33.31,-7.87,10,2023-03-06 12:00:00,-1e+100,292.75
138,41.8,-6.74,2,2023-03-06 10:00:00,-1e+100,279.95
139,-22.0,35.32,10,2023-03-06 12:00:00,-1e+100,303.15000000000003
140,29.68,-9.73,10,2023-03-06 12:00:00,-1e+100,293.05
141,33.88,-5.53,10,2023-03-06 12:00:00,-1e+100,290.85
142,-17.88,36.88,10,2023-03-06 12:00:00,-1e+100,304.55
143,48.77,2.2,2147483647,2023-03-06 12:00:00,-1e+100,0.1
144,45.73,5.08,1,2023-03-06 12:00:00,-1e+100,0.1
145,48.98,6.24,2147483647,2023-03-06 12:00:00,-1e+100,0.1
146,43.19,0.0,2147483647,2023-03-06 12:00:00,-1e+100,0.2
147,47.95,0.19,2147483647,2023-03-06 12:00:00,-1e+100,0.1
148,45.67,-0.32,2147483647,2023-03-06 12:00:00,-1e+100,0.1
149,49.53,0.09,2147483647,2023-03-06 12:00:00,-1e+100,0.1
150,42.74,2.87,2147483647,2023-03-06 12:00:00,-1e+100,0.2
151,43.69,0.6,2147483647,2023-03-06 12:00:00,-1e+100,0.2
152,48.75,2.11,2147483647,2023-03-06 12:00:00,-1e+100,0.2
153,47.79,6.36,2147483647,2023-03-06 12:00:00,-1e+100,0.0
154,48.45,-4.38,2147483647,2023-03-06 12:00:00,-1e+100,0.1
155,48.55,7.64,2147483647,2023-03-06 12:00:00,-1e+100,0.1
156,50.73,1.6,2,2023-03-06 12:00:00,-1e+100,0.1
157,48.63,4.9,2147483647,2023-03-06 12:00:00,-1e+100,0.0
158,45.55,4.29,2147483647,2023-03-06 12:00:00,-1e+100,0.1
159,43.91,-0.5,2147483647,2023-03-06 12:00:00,-1e+100,0.0
160,43.77,4.41,2147483647,2023-03-06 12:00:00,-1e+100,0.1
161,1.77,109.3,6,2023-03-06 03:00:00,-1e+100,298.76
162,-23.13,-134.97,2147483647,2023-03-06 12:00:00,-1e+100,0.0
163,-74.37,164.14,9,2023-03-06 12:00:00,-1e+100,264.8
164,-36.49,148.29,2147483647,2023-03-06 12:00:00,-1e+100,280.75
165,-74.37,164.14,9,2023-03-06 12:00:00,-1e+100,264.8
166,-22.59,167.45,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
167,13.92,100.6,2,2023-03-06 09:00:00,-1e+100,305.65000000000003
168,1.77,109.3,6,2023-03-06 03:00:00,-1e+100,298.76
169,-29.25,-177.95,2147483647,2023-03-06 12:00:00,-1e+100,294.55
170,-62.19,-58.98,2,2023-03-06 12:00:00,-1e+100,274.85
171,-19.98,-63.52,10,2023-03-06 12:00:00,-1e+100,298.35
172,-62.19,-58.98,2,2023-03-06 12:00:00,-1e+100,274.85
173,48.58,5.96,2147483647,2023-03-06 12:00:00,-1e+100,0.1
174,49.39,1.18,2147483647,2023-03-06 12:00:00,-1e+100,0.1
175,44.53,-1.13,2147483647,2023-03-06 12:00:00,-1e+100,0.0
176,44.82,0.52,2147483647,2023-03-06 12:00:00,-1e+100,0.1
177,48.46,1.5,2147483647,2023-03-06 12:00:00,-1e+100,0.1
178,46.17,3.4,2147483647,2023-03-06 12:00:00,-1e+100,0.1
179,43.09,6.15,2147483647,2023-03-06 12:00:00,-1e+100,0.1
180,48.53,-2.85,2147483647,2023-03-06 12:00:00,-1e+100,0.1
181,43.65,7.21,0,2023-03-06 12:00:00,-1e+100,0.0
182,48.83,-3.47,2147483647,2023-03-06 12:00:00,-1e+100,0.0
183,48.07,-1.73,2147483647,2023-03-06 12:00:00,-1e+100,0.0
184,34.3,-6.6,10,2023-03-06 12:00:00,-1e+100,292.85
185,45.79,3.15,2147483647,2023-03-06 12:00:00,-1e+100,0.2
186,41.92,9.4,2147483647,2023-03-06 12:00:00,-1e+100,0.2
187,48.72,2.4,2,2023-03-06 12:00:00,-1e+100,0.1
188,54.66,-6.23,2147483647,2023-03-06 12:00:00,-1e+100,279.25
189,49.03,1.22,2147483647,2023-03-06 12:00:00,-1e+100,0.1
190,-1e+100,-1e+100,2147483647,2023-03-06 11:00:00,-1e+100,277.05
191,4.82,-52.37,2147483647,2023-03-06 12:00:00,-1e+100,0.1
192,-1e+100,-1e+100,2147483647,,-1e+100,-1e+100
193,-1e+100,-1e+100,2147483647,2023-03-06 12:00:00,-1e+100,280.55
194,48.47,-5.06,2147483647,2023-03-06 12:00:00,-1e+100,0.2
195,44.12,3.02,2147483647,2023-03-06 12:00:00,-1e+100,0.1
196,49.82,3.21,2147483647,2023-03-06 12:00:00,-1e+100,0.1
197,33.36,-7.58,2147483647,2023-03-06 12:00:00,-1e+100,294.75
198,47.04,5.43,2147483647,2023-03-06 12:00:00,-1e+100,0.1
199,35.18,-3.85,10,2023-03-06 12:00:00,-1e+100,291.55
200,44.21,28.65,0,2023-03-06 12:00:00,-1e+100,283.35
201,44.06,5.99,2147483647,2023-03-06 12:00:00,-1e+100,0.2
202,41.92,-80.8,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
203,48.32,-122.83,2147483647,2023-03-06 11:00:00,-1e+100,277.95
204,29.86,-81.27,2147483647,2023-03-06 12:00:00,-1e+100,294.05
205,29.41,-84.86,2147483647,2023-03-06 12:00:00,-1e+100,293.55
206,47.68,-124.48,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
207,30.36,-89.61,2147483647,2023-03-06 11:00:00,-1e+100,298.25
208,53.31,-60.36,2147483647,2023-03-06 12:00:00,-1e+100,275.22
209,47.82,-83.36,2147483647,2023-03-06 12:00:00,-1e+100,259.6
210,-1e+100,-1e+100,2147483647,,-1e+100,-1e+100
211,44.83,-64.51,2147483647,2023-03-06 12:00:00,-1e+100,270.57
212,48.78,-64.48,2147483647,2023-03-06 12:00:00,-1e+100,271.48
213,68.76,-114.94,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
214,51.52,-109.18,2147483647,2023-03-06 12:00:00,-1e+100,248.0
215,56.36,-94.7,2147483647,2023-03-06 12:00:00,-1e+100,244.94
216,-1e+100,-1e+100,2147483647,,-1e+100,-1e+100
217,56.25,-120.75,2147483647,2023-03-06 12:00:00,-1e+100,247.70000000000002
218,56.19,-117.45,2147483647,2023-03-06 12:00:00,-1e+100,249.76000000000002
219,-43.86,-69.05,10,2023-03-06 00:00:00,-1e+100,296.85
220,-43.86,-69.05,10,2023-03-06 00:00:00,-1e+100,296.85
221,28.89,-90.02,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
222,41.92,-80.8,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
223,33.84,-78.48,2147483647,2023-03-06 11:00:00,-1e+100,-1e+100
224,28.15,-82.8,2147483647,2023-03-06 10:00:00,-1e+100,296.65000000000003
225,-1e+100,-1e+100,2147483647,,-1e+100,-1e+100
226,-21.17,-63.63,10,2023-03-06 12:00:00,-1e+100,299.85
227,-21.17,-63.63,10,2023-03-06 12:00:00,-1e+100,299.85
228,-21.17,-63.63,10,2023-03-06 12:00:00,-1e+100,299.85
229,-21.17,-63.63,10,2023-03-06 12:00:00,-1e+100,299.85
230,-21.17,-63.63,10,2023-03-06 12:00:00,-1e+100,299.85
231,-21.17,-63.63,10,2023-03-06 12:00:00,-1e+100,299.85
232,-21.17,-63.63,10,2023-03-06 12:00:00,-1e+100,299.85
233,-21.17,-63.63,10,2023-03-06 12:00:00,-1e+100,299.85
234,-21.17,-63.63,10,2023-03-06 12:00:00,-1e+100,299.85
235,-21.17,-63.63,10,2023-03-06 12:00:00,-1e+100,299.85
236,-21.17,-63.63,10,2023-03-06 12:00:00,-1e+100,299.85
237,-74.37,164.14,9,2023-03-06 12:00:00,-1e+100,264.8
238,-23.13,-134.97,2147483647,2023-03-06 12:00:00,-1e+100,0.0
239,-29.25,-177.95,2147483647,2023-03-06 12:00:00,-1e+100,294.55
240,43.86,4.41,2147483647,2023-03-06 12:00:00,-1e+100,0.1
241,48.93,21.99,10,2023-03-06 12:00:00,-1e+100,279.85
242,48.67,21.22,10,2023-03-06 12:00:00,-1e+100,278.35
243,43.69,-1.07,2147483647,2023-03-06 12:00:00,-1e+100,0.0
244,46.05,-1.41,2,2023-03-06 12:00:00,-1e+100,0.0
245,14.6,-61.0,2147483647,2023-03-06 12:00:00,-1e+100,0.2
246,47.83,10.87,10,2023-03-06 12:00:00,85000.0,274.45
247,47.05,2.64,2147483647,2023-03-06 12:00:00,-1e+100,0.1
248,43.39,-1.69,2,2023-03-06 12:00:00,-1e+100,0.1
249,43.91,4.9,2147483647,2023-03-06 12:00:00,-1e+100,0.2
250,43.6,5.1,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
251,48.06,1.38,2147483647,2023-03-06 12:00:00,-1e+100,0.2
252,49.69,18.11,10,2023-03-06 12:00:00,-1e+100,278.05
253,49.69,18.11,10,2023-03-06 12:00:00,-1e+100,278.05
254,39.1,9.51,2147483647,2023-03-06 12:00:00,-1e+100,287.15000000000003
255,60.12,10.83,2147483647,2023-03-06 12:00:00,-1e+100,272.05
256,39.5,9.63,2147483647,2023-03-06 12:00:00,-1e+100,288.15000000000003
257,40.85,9.18,2147483647,2023-03-06 12:00:00,85000.0,274.75
258,-20.89,55.53,2147483647,2023-03-06 12:00:00,-1e+100,0.1
259,42.52,3.14,0,2023-03-06 12:00:00,-1e+100,0.4
260,50.51,1.62,2147483647,2023-03-06 12:00:00,-1e+100,0.1
261,39.24,9.06,2147483647,2023-03-06 12:00:00,-1e+100,286.75
262,39.93,9.71,2147483647,2023-03-06 12:00:00,-1e+100,286.75
263,42.92,3.06,2147483647,2023-03-06 12:00:00,-1e+100,0.1
264,40.77,16.94,2147483647,2023-03-06 12:00:00,-1e+100,286.95
265,41.8,-6.74,8,2023-03-06 11:00:00,-1e+100,280.95
266,-1e+100,-1e+100,2147483647,,-1e+100,-1e+100
267,59.37,10.8,2147483647,2023-03-06 12:00:00,-1e+100,273.55
268,59.15,10.83,2147483647,2023-03-06 12:00:00,-1e+100,273.35
269,40.9,9.52,2147483647,2023-03-06 12:00:00,-1e+100,289.05
270,-13.35,-65.42,10,2023-03-06 12:00:00,-1e+100,299.55
271,-74.37,164.14,9,2023-03-06 12:00:00,-1e+100,265.0
272,51.9,0.45,2147483647,2023-03-06 12:00:00,-1e+100,279.3
273,47.7,22.06,2147483647,2023-03-06 11:00:00,-1e+100,278.75
274,31.4,-9.68,2147483647,2023-03-06 12:00:00,-1e+100,295.35
275,31.51,-9.78,10,2023-03-06 12:00:00,-1e+100,291.55
276,59.94,10.72,0,2023-03-06 12:00:00,-1e+100,274.15000000000003
277,76.51,25.01,4,2023-03-06 12:00:00,-1e+100,258.45
278,47.44,22.0,2147483647,2023-03-06 12:00:00,-1e+100,279.05
279,-1e+100,-1e+100,6,2023-03-06 12:00:00,-1e+100,287.55
280,58.66,8.63,0,2023-03-06 12:00:00,-1e+100,273.45
281,59.86,10.44,2147483647,2023-03-06 12:00:00,-1e+100,273.75
282,62.23,7.42,2147483647,2023-03-06 12:00:00,-1e+100,273.25
283,60.05,10.69,2147483647,2023-03-06 12:00:00,-1e+100,272.45
284,-71.96,2.47,2147483647,2023-03-06 12:00:00,-1e+100,264.35
285,5.9,118.07,2,2023-03-06 12:00:00,-1e+100,300.85
286,-14.47,-64.9,10,2023-03-06 12:00:00,-1e+100,299.35
287,49.55,18.45,4,2023-03-06 12:00:00,85000.0,267.15
288,49.55,18.45,4,2023-03-06 12:00:00,85000.0,267.15
289,36.69,15.13,2147483647,2023-03-06 12:00:00,-1e+100,289.15000000000003
290,37.57,14.28,4,2023-03-06 12:00:00,85000.0,279.75
291,48.78,20.99,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
292,47.8,10.03,2147483647,2023-03-06 12:00:00,-1e+100,275.55
293,46.26,20.09,2147483647,2023-03-06 12:00:00,-1e+100,284.05
294,52.45,13.3,7,2023-03-06 12:00:00,-1e+100,273.75
295,38.88,1.38,10,2023-03-06 12:00:00,-1e+100,289.65000000000003
296,46.68,21.16,2147483647,2023-03-06 12:00:00,-1e+100,282.35
297,35.28,-2.96,10,2023-03-06 12:00:00,-1e+100,292.55
298,36.85,-2.36,10,2023-03-06 12:00:00,-1e+100,290.65000000000003
299,41.15,1.18,10,2023-03-06 12:00:00,-1e+100,286.15000000000003
300,57.79,26.04,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
301,57.85,27.02,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
302,44.78,17.22,2,2023-03-06 12:00:00,-1e+100,287.05
303,37.78,-0.81,10,2023-03-06 12:00:00,-1e+100,290.95
304,35.89,-5.35,16,2023-03-06 12:00:00,-1e+100,290.25
305,60.18,24.79,2147483647,2023-03-06 12:00:00,-1e+100,270.75
306,63.74,25.71,2147483647,2023-03-06 12:00:00,-1e+100,264.95
307,42.92,17.6,2147483647,2023-03-06 12:00:00,-1e+100,287.15000000000003
308,69.05,27.76,2147483647,2023-03-06 12:00:00,-1e+100,253.15
309,55.37,-7.33,10,2023-03-06 12:00:00,-1e+100,278.55
310,-73.05,-13.38,2147483647,2023-03-06 12:00:00,-1e+100,269.65
311,66.17,29.14,2147483647,2023-03-06 12:00:00,-1e+100,263.85
312,57.67,18.35,10,2023-03-06 12:00:00,-1e+100,271.95
313,52.27,6.89,17,2023-03-06 12:00:00,-1e+100,278.25
314,50.91,5.76,15,2023-03-06 12:00:00,-1e+100,277.05
315,50.91,5.76,15,2023-03-06 12:00:00,-1e+100,277.05
316,52.27,6.89,17,2023-03-06 12:00:00,-1e+100,278.25
317,-23.87,35.38,10,2023-03-06 12:00:00,-1e+100,304.15000000000003
318,51.66,5.71,18,2023-03-06 12:00:00,-1e+100,278.75
319,46.54,23.31,10,2023-03-06 12:00:00,85000.0,271.85
320,51.5,6.2,2147483647,2023-03-06 12:00:00,-1e+100,279.25
321,61.54,82.42,10,2023-03-06 09:00:00,-1e+100,268.45
322,51.89,4.31,2147483647,2023-03-06 12:00:00,-1e+100,-1e+100
323,43.79,23.94,10,2023-03-06 12:00:00,-1e+100,284.75
324,45.84,27.41,10,2023-03-06 12:00:00,-1e+100,283.75
325,43.4,3.69,2147483647,2023-03-06 12:00:00,-1e+100,0.1
326,12.13,-68.28,10,2023-03-06 12:00:00,-1e+100,299.65000000000003
327,43.82,28.59,10,2023-03-06 12:00:00,-1e+100,284.25
328,-74.37,164.14,9,2023-03-06 12:00:00,-1e+100,264.8
329,1.37,103.98,8,2023-03-06 12:00:00,-1e+100,298.45
